id,question_type,question,predicted,correct,full_response
1CW71PEfUO3w,open_ended_multi_choice,Which of the following is a potential adverse reaction upon abrupt discontinuation of fluoxetine?,B,A,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: ADVERSE_EVENT
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question specifically asks about potential ad..."
sMLyoU0d3Mrn,open_ended_multi_choice,What should be considered if blood pressure remains inadequately controlled in a patient taking NURTEC ODT?,D,B,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: TREATMENT_PLANNING
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to managing a patient'..."
78rb8mSjrZSd,multi_choice,What is the appropriate action if a patient experiences a severe infusion reaction during Ogivri administration?,B,C,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: ADVERSE_EVENT
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to managing a severe infusi..."
xFqyj9rw02CP,open_ended_multi_choice,Terbinafine should not be prescribed to patients with which of the following conditions?,B,D,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: CONTRAINDICATIONS
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: Terbinafine has specific contraindications th..."
SeNVyra7uLuW,multi_choice,What was observed regarding the systemic beta-adrenergic adverse effects of 1.25 mg Levalbuterol compared to 2.5 mg racemic albuterol sulfate in clinical studies?,A,B,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: CLINICAL_STUDIES
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to the comparison of sys..."
AUKWr9SmYhyi,open_ended_multi_choice,Which step in medical procedures is the drug brand name 'sterile' associated with?,E,B,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: DRUG_BRANDS
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question specifically pertains to the drug bran..."
ep0KXYKj2lYJ,multi_choice,Which group had the highest percentage of patients reporting headache in the Phase 3 clinical study?,D,A,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: CLINICAL_STUDIES
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to data from a Phase 3 c..."
vPiXAVp07Qga,open_ended_multi_choice,What is the suggested water temperature for a sitz bath using vaginal essential oil?,A,B,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: TREATMENT_PLANNING
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to the practical appli..."
UYErAdkmaCRq,multi_choice,How should Belladona be administered for children aged 2 years and under?,D,C,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: CONTRAINDICATIONS
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to the safety and appro..."
KEFQPh31oTjK,multi_choice,How many drops of vaginal essential oil are recommended for a sitz bath to address vulvovaginitis itching and odor?,A,C,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: TREATMENT_PLANNING
• Used LLM: gpt4o
• Routing Confidence: 0.80
• Routing Reasoning: The question pertains to the appropriate dos..."
37BqRqh855UL,multi_choice,What was the result of the non-inferiority analysis in Pediatric Study 2 comparing Palonosetron to Ondansetron for postoperative nausea and vomiting prevention?,A,B,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: CLINICAL_STUDIES
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to the results of a non-..."
BFuvT8DFarY8,multi_choice,What is the primary use of the drug brand name 'sterile'?,E,B,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: DRUG_BRANDS
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question specifically asks about the primary us..."
UfqFoSI83kdm,multi_choice,"In the Ames test, what was observed regarding the genotoxic potential of Dopamine HCl?",B,C,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: TOXICOLOGY
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to the genotoxic potential of ..."
UZ9Cq3pCY3vv,open_ended_multi_choice,Which of the following statements is true regarding Guanfacine extended-release tablets?,B,C,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: TREATMENT_PLANNING
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to Guanfacine extended..."
s2Tb5DRLFTyn,open_ended_multi_choice,In which animal model did albuterol sulfate show no evidence of tumorigenicity at dietary doses up to 500 mg/kg?,B,A,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: TOXICOLOGY
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to the assessment of tumorigen..."
sREowFmeVh0w,open_ended_multi_choice,Which treatment option is appropriate for recurrent metastatic non-squamous NSCLC after prior chemotherapy using Pemetrexed for Injection?,E,A,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: TREATMENT_PLANNING
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question specifically pertains to select..."
vLLqOGKtUreF,multi_choice,What is the concentration of hydrocortisone in ALA-SCALP (Hydrocortisone Lotion USP)?,A,B,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: DRUG_INGREDIENTS
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question specifically asks about the conce..."
Gdqxh1gO6Xss,open_ended_multi_choice,"For children aged 2 to 12 years, what is the recommended dosage of Belladona?",D,B,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: DOSAGE_CALCULATION
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question specifically asks for the recom..."
9SIC14KQED3R,multi_choice,"In a study comparing pantoprazole sodium delayed-release tablets and pantoprazole sodium for injection in GERD patients with a history of erosive esophagitis (EE), what was the mean basal acid output (BAO) for patients treated with intravenous placebo on Day 7?",B,C,"=== MULTI-LLM ROUTER ANALYSIS ===

ROUTING DECISION:
• Selected Agent: CLINICAL_STUDIES
• Used LLM: gpt4o
• Routing Confidence: 0.90
• Routing Reasoning: The question pertains to specific data from a ..."
